"","METRIC.Recall","METRIC.Precision","METRIC.Frac_NA","METRIC.F1_Score","TRUTH.TP","TRUTH.FN","QUERY.TP","QUERY.FP","Sample","X_axis"
"HG002_NA24385_Son_NewIndex_SSXTHSV2707-SSXTHSV2507_exome_E.summary.csv",0.994827,0.992381,0.209349,0.993603,66545,346,66556,511,"HG002","4plex_1"
"HG002_NA24385_Son_NewIndex_SSXTHSV2752-SSXTHSV2552.summary.csv",0.989392,0.978406,0.242097,0.983868,19214,206,19211,424,"HG002","4plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2756-SSXTHSV2556.summary.csv",0.984964,0.973679,0.236522,0.979289,19128,292,19125,517,"HG002","4plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2760-SSXTHSV2560.summary.csv",0.988002,0.969183,0.239307,0.978502,19187,233,19184,610,"HG002","8plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2764-SSXTHSV2564.summary.csv",0.988157,0.981834,0.238396,0.984985,19190,230,19187,355,"HG002","8plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2768-SSXTHSV2568.summary.csv",0.981359,0.925584,0.233087,0.952656,19058,362,19055,1532,"HG002","8plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2772-SSXTHSV2572.summary.csv",0.946344,0.795834,0.213938,0.864587,18378,1042,18375,4714,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2704-SSXTHSV2504_exome_E.summary.csv",0.990223,0.9867,0.204924,0.988458,66237,654,66248,893,"HG002","4plex_1"
"HG002_NA24385_Son_SSXTHSV2749-SSXTHSV2549.summary.csv",0.991916,0.988605,0.240764,0.990257,19263,157,19260,222,"HG002","4plex_A"
"HG002_NA24385_Son_SSXTHSV2753-SSXTHSV2553.summary.csv",0.990422,0.984539,0.241142,0.987472,19234,186,19231,302,"HG002","4plex_B"
"HG002_NA24385_Son_SSXTHSV2757-SSXTHSV2557.summary.csv",0.989289,0.979951,0.239614,0.984598,19212,208,19209,393,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2761-SSXTHSV2561.summary.csv",0.980844,0.91916,0.231682,0.949001,19048,372,19045,1675,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2765-SSXTHSV2565.summary.csv",0.982853,0.966181,0.238727,0.974445,19087,333,19084,668,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2769-SSXTHSV2569.summary.csv",0.982075,0.961985,0.237972,0.971927,18957,346,18954,749,"HG002","8plex_B"
"HG002_SureSelect_Capture_NA24385_Son_V6UTR_1plex_exome_E.summary.csv",0.998086,0.993335,0.215579,0.995705,66763,128,66773,448,"HG002","XT"
"HG003_NA24149_Father_SSXTHSV2706-SSXTHSV2506_exome_E.summary.csv",0.992803,0.990716,0.214396,0.991758,65936,478,65947,618,"HG003","4plex_1"
"HG003_NA24149_Father_SSXTHSV2751-SSXTHSV2551.summary.csv",0.979247,0.937306,0.239799,0.957818,19016,403,19017,1272,"HG003","4plex_A"
"HG003_NA24149_Father_SSXTHSV2755-SSXTHSV2555.summary.csv",0.979041,0.920682,0.239038,0.948965,19012,407,19013,1638,"HG003","4plex_B"
"HG003_NA24149_Father_SSXTHSV2759-SSXTHSV2559.summary.csv",0.990834,0.986669,0.246173,0.988747,19241,178,19243,260,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2763-SSXTHSV2563.summary.csv",0.984551,0.956718,0.241009,0.970435,19119,300,19120,865,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2767-SSXTHSV2567.summary.csv",0.962614,0.859415,0.228297,0.908092,18693,726,18694,3058,"HG003","8plex_B"
"HG003_NA24149_Father_SSXTHSV2771-SSXTHSV2571.summary.csv",0.971232,0.880019,0.229466,0.923378,18805,557,18806,2564,"HG003","8plex_B"
"HG003_SureSelect_Capture_NA24149_Father_V6UTR_1plex_exome_E.summary.csv",0.996492,0.993382,0.222592,0.994934,66181,233,66193,441,"HG003","XT"
"HG004_NA24143_Mother_SSXTHSV2705-SSXTHSV2505_exome_E.summary.csv",0.991466,0.989973,0.210524,0.990719,66334,571,66345,672,"HG004","4plex_1"
"HG004_NA24143_Mother_SSXTHSV2750-SSXTHSV2550.summary.csv",0.98696,0.980162,0.251587,0.983549,19073,252,19072,386,"HG004","4plex_A"
"HG004_NA24143_Mother_SSXTHSV2754-SSXTHSV2554.summary.csv",0.99141,0.984178,0.253203,0.987781,19159,166,19158,308,"HG004","4plex_B"
"HG004_NA24143_Mother_SSXTHSV2758-SSXTHSV2558.summary.csv",0.966158,0.864993,0.234556,0.912781,18671,654,18670,2914,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2762-SSXTHSV2562.summary.csv",0.984631,0.959022,0.250104,0.971658,19028,297,19027,813,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2766-SSXTHSV2566.summary.csv",0.941837,0.751321,0.217318,0.83586,18201,1124,18200,6024,"HG004","8plex_B"
"HG004_NA24143_Mother_SSXTHSV2770-SSXTHSV2570.summary.csv",0.947426,0.495199,0.181261,0.650431,18309,1016,18308,18663,"HG004","8plex_B"
"HG004_SureSelect_Capture_NA24143_Mother_V6UTR_1plex_exome_E.summary.csv",0.998461,0.995708,0.22391,0.997082,66802,103,66812,288,"HG004","XT"
