"","METRIC.Recall","METRIC.Precision","METRIC.Frac_NA","METRIC.F1_Score","TRUTH.TP","TRUTH.FN","QUERY.TP","QUERY.FP","Sample","X_axis"
"HG002_NA24385_Son_NewIndex_SSXTHSV2707-SSXTHSV2507_exome_E.summary.csv",0.988085,0.995078,0.178726,0.991569,66094,797,66105,327,"HG002","4plex_1"
"HG002_NA24385_Son_NewIndex_SSXTHSV2752-SSXTHSV2552.summary.csv",0.978064,0.989116,0.200341,0.983559,18994,426,18994,209,"HG002","4plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2756-SSXTHSV2556.summary.csv",0.972863,0.986938,0.203363,0.97985,18893,527,18890,250,"HG002","4plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2760-SSXTHSV2560.summary.csv",0.977137,0.982042,0.196649,0.979583,18976,444,18976,347,"HG002","8plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2764-SSXTHSV2564.summary.csv",0.977291,0.990037,0.201583,0.983623,18979,441,18979,191,"HG002","8plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2768-SSXTHSV2568.summary.csv",0.968383,0.960519,0.196297,0.964435,18806,614,18806,773,"HG002","8plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2772-SSXTHSV2572.summary.csv",0.930947,0.851779,0.186688,0.889605,18079,1341,18079,3146,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2704-SSXTHSV2504_exome_E.summary.csv",0.982898,0.991167,0.179205,0.987015,65747,1144,65758,586,"HG002","4plex_1"
"HG002_NA24385_Son_SSXTHSV2749-SSXTHSV2549.summary.csv",0.981874,0.994731,0.198218,0.988261,19068,352,19068,101,"HG002","4plex_A"
"HG002_NA24385_Son_SSXTHSV2753-SSXTHSV2553.summary.csv",0.97827,0.992788,0.201236,0.985476,18998,422,18998,138,"HG002","4plex_B"
"HG002_NA24385_Son_SSXTHSV2757-SSXTHSV2557.summary.csv",0.977291,0.991536,0.200159,0.984362,18979,441,18979,162,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2761-SSXTHSV2561.summary.csv",0.966941,0.953488,0.195145,0.960168,18778,642,18778,916,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2765-SSXTHSV2565.summary.csv",0.970237,0.98069,0.201488,0.975436,18842,578,18842,371,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2769-SSXTHSV2569.summary.csv",0.971766,0.975151,0.200266,0.973455,18758,545,18758,478,"HG002","8plex_B"
"HG002_SureSelect_Capture_NA24385_Son_V6UTR_1plex_exome_E.summary.csv",0.992854,0.995668,0.18426,0.994259,66413,478,66423,289,"HG002","XT"
"HG003_NA24149_Father_SSXTHSV2706-SSXTHSV2506_exome_E.summary.csv",0.985726,0.994577,0.186765,0.990132,65466,948,65476,357,"HG003","4plex_1"
"HG003_NA24149_Father_SSXTHSV2751-SSXTHSV2551.summary.csv",0.968484,0.962093,0.201242,0.965278,18807,612,18807,741,"HG003","4plex_A"
"HG003_NA24149_Father_SSXTHSV2755-SSXTHSV2555.summary.csv",0.964674,0.95387,0.19925,0.959241,18733,686,18734,906,"HG003","4plex_B"
"HG003_NA24149_Father_SSXTHSV2759-SSXTHSV2559.summary.csv",0.981255,0.995507,0.203537,0.98833,19055,364,19057,86,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2763-SSXTHSV2563.summary.csv",0.97523,0.975332,0.199687,0.975281,18938,481,18939,479,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2767-SSXTHSV2567.summary.csv",0.948247,0.905849,0.195433,0.926563,18414,1005,18415,1914,"HG003","8plex_B"
"HG003_NA24149_Father_SSXTHSV2771-SSXTHSV2571.summary.csv",0.959198,0.919911,0.194526,0.939144,18572,790,18573,1617,"HG003","8plex_B"
"HG003_SureSelect_Capture_NA24149_Father_V6UTR_1plex_exome_E.summary.csv",0.990845,0.996518,0.192096,0.993673,65806,608,65817,230,"HG003","XT"
"HG004_NA24143_Mother_SSXTHSV2705-SSXTHSV2505_exome_E.summary.csv",0.984605,0.993995,0.183425,0.989278,65875,1030,65885,398,"HG004","4plex_1"
"HG004_NA24143_Mother_SSXTHSV2750-SSXTHSV2550.summary.csv",0.976404,0.989304,0.208631,0.982811,18869,456,18868,204,"HG004","4plex_A"
"HG004_NA24143_Mother_SSXTHSV2754-SSXTHSV2554.summary.csv",0.979974,0.992245,0.209862,0.986071,18938,387,18937,148,"HG004","4plex_B"
"HG004_NA24143_Mother_SSXTHSV2758-SSXTHSV2558.summary.csv",0.953428,0.906024,0.199315,0.929122,18425,900,18424,1911,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2762-SSXTHSV2562.summary.csv",0.975472,0.975673,0.207417,0.975573,18851,474,18850,470,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2766-SSXTHSV2566.summary.csv",0.926572,0.809339,0.190701,0.863997,17906,1419,17905,4218,"HG004","8plex_B"
"HG004_NA24143_Mother_SSXTHSV2770-SSXTHSV2570.summary.csv",0.925278,0.590301,0.166033,0.720771,17881,1444,17882,12411,"HG004","8plex_B"
"HG004_SureSelect_Capture_NA24143_Mother_V6UTR_1plex_exome_E.summary.csv",0.994171,0.997795,0.188414,0.99598,66515,390,66524,147,"HG004","XT"
