"","METRIC.Recall","METRIC.Precision","METRIC.Frac_NA","METRIC.F1_Score","Sample","X_axis"
"HG002_NA24385_Son_30_E.summary.csv",0.998254,0.996864,0.183537,0.997558,"HG002",41.7
"HG002_NA24385_Son_WGS_IDT_10_2_E.summary.csv",0.401104,0.832982,0.156164,0.541474,"HG002",2.6
"HG002_NA24385_Son_WGS_IDT_30_5_E.summary.csv",0.811788,0.936011,0.162121,0.869485,"HG002",6.6
"HG002_NA24385_Son_WGS_IDT_43_rep2.summary.csv",0.224173,0.782712,0.159383,0.348526,"HG002",1.6
"HG002_NA24385_Son_WGS_IDT_43.summary.csv",0.226273,0.783576,0.159448,0.351145,"HG002",1.6
"HG002_NA24385_Son_WGS_IDT_46_rep2.summary.csv",0.663232,0.900087,0.160669,0.763717,"HG002",4.4
"HG002_NA24385_Son_WGS_IDT_46.summary.csv",0.669154,0.900259,0.162047,0.767691,"HG002",4.4
"HG003_NA24149_Father_30_E.summary.csv",0.998656,0.996685,0.189621,0.99767,"HG003",30
"HG003_NA24149_Father_WGS_IDT_12_2_E.summary.csv",0.289486,0.796215,0.159738,0.424598,"HG003",2
"HG003_NA24149_Father_WGS_IDT_32_5_E.summary.csv",0.799572,0.92898,0.167036,0.859432,"HG003",6.4
"HG003_NA24149_Father_WGS_IDT_45_rep2.summary.csv",0.251261,0.779696,0.161725,0.38005,"HG003",1.7
"HG003_NA24149_Father_WGS_IDT_45.summary.csv",0.250009,0.781324,0.162324,0.378807,"HG003",1.7
"HG003_NA24149_Father_WGS_IDT_48_rep2.summary.csv",0.81417,0.931777,0.169367,0.869012,"HG003",6.2
"HG003_NA24149_Father_WGS_IDT_48.summary.csv",0.819195,0.931333,0.170301,0.871672,"HG003",6.2
"HG004_NA24143_Mother_30_E.summary.csv",0.998885,0.99671,0.19056,0.997797,"HG004",30
"HG004_NA24143_Mother_WGS_IDT_11_2_E.summary.csv",0.476966,0.852172,0.159473,0.61161,"HG004",3.2
"HG004_NA24143_Mother_WGS_IDT_31_5X_E.summary.csv",0.737899,0.922611,0.1647,0.819981,"HG004",5.5
"HG004_NA24143_Mother_WGS_IDT_44_rep2.summary.csv",0.290297,0.779885,0.159759,0.423102,"HG004",1.9
"HG004_NA24143_Mother_WGS_IDT_44.summary.csv",0.288523,0.781962,0.159343,0.421517,"HG004",2
"HG004_NA24143_Mother_WGS_IDT_47_rep2.summary.csv",0.702565,0.909714,0.165908,0.792832,"HG004",4.8
"HG004_NA24143_Mother_WGS_IDT_47.summary.csv",0.701856,0.911015,0.165298,0.792873,"HG004",4.8
