"","METRIC.Recall","METRIC.Precision","METRIC.Frac_NA","METRIC.F1_Score","mean_coverage","median_coverage","Sample"
"HG002_NA24385_Son_30_E.summary.csv",0.993412,0.999217,0.166594,0.996306,30,30,"HG002"
"HG002_NA24385_Son_WGS_IDT_10_2_E.summary.csv",0.394653,0.832577,0.147547,0.535481,2.6,2,"HG002"
"HG002_NA24385_Son_WGS_IDT_30_5_E.summary.csv",0.793727,0.943286,0.152333,0.862068,6.6,6.6,"HG002"
"HG002_NA24385_Son_WGS_IDT_43.summary.csv",0.491998,0.862561,0.150865,0.626592,3.1,3,"HG002"
"HG002_NA24385_Son_WGS_IDT_46.summary.csv",0.895802,0.973243,0.158287,0.932918,8.8,8,"HG002"
"HG003_NA24149_Father_30_E.summary.csv",0.994319,0.999104,0.172334,0.996705,30,30,"HG003"
"HG003_NA24149_Father_WGS_IDT_12_2_E.summary.csv",0.286255,0.795718,0.151376,0.421042,2,2,"HG003"
"HG003_NA24149_Father_WGS_IDT_32_5_E.summary.csv",0.782189,0.936518,0.157564,0.852425,6.4,6,"HG003"
"HG003_NA24149_Father_WGS_IDT_45.summary.csv",0.528262,0.860639,0.154642,0.65468,3.4,3,"HG003"
"HG003_NA24149_Father_WGS_IDT_48.summary.csv",0.950631,0.990463,0.16711,0.970138,12.4,12,"HG003"
"HG004_NA24143_Mother_30_E.summary.csv",0.994105,0.999316,0.172841,0.996704,30,30,"HG004"
"HG004_NA24143_Mother_WGS_IDT_11_2_E.summary.csv",0.468638,0.852333,0.150926,0.604761,3.2,3,"HG004"
"HG004_NA24143_Mother_WGS_IDT_31_5X_E.summary.csv",0.720455,0.926593,0.155234,0.810624,5.5,5,"HG004"
"HG004_NA24143_Mother_WGS_IDT_44.summary.csv",0.580525,0.865313,0.153594,0.694872,3.9,4,"HG004"
"HG004_NA24143_Mother_WGS_IDT_47.summary.csv",0.912332,0.978988,0.164135,0.944486,9.6,9,"HG004"
