"","METRIC.Recall","METRIC.Precision","METRIC.Frac_NA","METRIC.F1_Score","TRUTH.TP","TRUTH.FN","QUERY.TP","QUERY.FP","Sample","X_axis"
"HG002_NA24385_Son_NewIndex_SSXTHSV2752-SSXTHSV2552.summary.csv",0.822719,0.040934,0.167031,0.077987,478,103,484,11340,"HG002","4plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2756-SSXTHSV2556.summary.csv",0.772806,0.034071,0.182315,0.065265,449,132,454,12871,"HG002","4plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2764-SSXTHSV2564.summary.csv",0.833046,0.030683,0.175231,0.059185,484,97,490,15480,"HG002","8plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2768-SSXTHSV2568.summary.csv",0.851979,0.018489,0.119034,0.036193,495,86,500,26543,"HG002","8plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2772-SSXTHSV2572.summary.csv",0.803787,0.011636,0.11086,0.022939,467,114,471,40008,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2749-SSXTHSV2549.summary.csv",0.833046,0.053294,0.17719,0.10018,484,97,491,8722,"HG002","4plex_A"
"HG002_NA24385_Son_SSXTHSV2753-SSXTHSV2553.summary.csv",0.827883,0.045105,0.187279,0.085549,481,100,487,10310,"HG002","4plex_B"
"HG002_NA24385_Son_SSXTHSV2757-SSXTHSV2557.summary.csv",0.845095,0.031119,0.168024,0.060027,491,90,496,15443,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2761-SSXTHSV2561.summary.csv",0.807229,0.017384,0.124127,0.034035,469,112,473,26736,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2765-SSXTHSV2565.summary.csv",0.814114,0.024961,0.144966,0.048436,473,108,477,18633,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2769-SSXTHSV2569.summary.csv",0.812392,0.028712,0.153909,0.055465,472,109,477,16136,"HG002","8plex_B"
"HG003_NA24149_Father_SSXTHSV2751-SSXTHSV2551.summary.csv",0.806897,0.024161,0.132379,0.046917,468,112,473,19104,"HG003","4plex_A"
"HG003_NA24149_Father_SSXTHSV2755-SSXTHSV2555.summary.csv",0.810345,0.020282,0.123927,0.039573,470,110,474,22897,"HG003","4plex_B"
"HG003_NA24149_Father_SSXTHSV2759-SSXTHSV2559.summary.csv",0.832759,0.046348,0.193136,0.087808,483,97,486,10000,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2763-SSXTHSV2563.summary.csv",0.834483,0.025837,0.144935,0.050123,484,96,489,18437,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2767-SSXTHSV2567.summary.csv",0.8,0.01247,0.112877,0.024558,464,116,467,36982,"HG003","8plex_B"
"HG003_NA24149_Father_SSXTHSV2771-SSXTHSV2571.summary.csv",0.827586,0.016271,0.11657,0.031914,480,100,483,29202,"HG003","8plex_B"
"HG004_NA24143_Mother_SSXTHSV2750-SSXTHSV2550.summary.csv",0.835979,0.039746,0.15884,0.075884,474,93,482,11645,"HG004","4plex_A"
"HG004_NA24143_Mother_SSXTHSV2754-SSXTHSV2554.summary.csv",0.846561,0.046436,0.192687,0.088043,480,87,486,9980,"HG004","4plex_B"
"HG004_NA24143_Mother_SSXTHSV2758-SSXTHSV2558.summary.csv",0.823633,0.0151,0.121272,0.029656,467,100,472,30787,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2762-SSXTHSV2562.summary.csv",0.851852,0.024862,0.148567,0.048314,483,84,491,19258,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2766-SSXTHSV2566.summary.csv",0.814815,0.009903,0.107228,0.019568,462,105,468,46790,"HG004","8plex_B"
"HG004_NA24143_Mother_SSXTHSV2770-SSXTHSV2570.summary.csv",0.855379,0.013018,0.10969,0.025645,485,82,491,37227,"HG004","8plex_B"
