"","METRIC.Recall","METRIC.Precision","METRIC.Frac_NA","METRIC.F1_Score","TRUTH.TP","TRUTH.FN","QUERY.TP","QUERY.FP","Sample","X_axis"
"HG002_NA24385_Son_NewIndex_SSXTHSV2752-SSXTHSV2552.summary.csv",0.962822,0.764338,0.18296,0.852175,18698,722,18698,5765,"HG002","4plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2756-SSXTHSV2556.summary.csv",0.949846,0.7055,0.184645,0.809639,18446,974,18446,7700,"HG002","4plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2764-SSXTHSV2564.summary.csv",0.957364,0.690536,0.178069,0.802348,18592,828,18592,8332,"HG002","8plex_A"
"HG002_NA24385_Son_NewIndex_SSXTHSV2768-SSXTHSV2568.summary.csv",0.956231,0.5911,0.159011,0.730585,18570,850,18570,12846,"HG002","8plex_B"
"HG002_NA24385_Son_NewIndex_SSXTHSV2772-SSXTHSV2572.summary.csv",0.920031,0.415454,0.141563,0.572422,17867,1553,17867,25139,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2749-SSXTHSV2549.summary.csv",0.969156,0.804557,0.188616,0.879219,18821,599,18821,4572,"HG002","4plex_A"
"HG002_NA24385_Son_SSXTHSV2753-SSXTHSV2553.summary.csv",0.966941,0.767109,0.186769,0.855511,18778,642,18775,5700,"HG002","4plex_B"
"HG002_NA24385_Son_SSXTHSV2757-SSXTHSV2557.summary.csv",0.958239,0.698982,0.180352,0.808331,18609,811,18609,8014,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2761-SSXTHSV2561.summary.csv",0.945108,0.551784,0.159261,0.696771,18354,1066,18354,14909,"HG002","8plex_A"
"HG002_NA24385_Son_SSXTHSV2765-SSXTHSV2565.summary.csv",0.954068,0.649285,0.173205,0.772708,18528,892,18528,10008,"HG002","8plex_B"
"HG002_NA24385_Son_SSXTHSV2769-SSXTHSV2569.summary.csv",0.960144,0.68655,0.176501,0.800618,18646,774,18646,8513,"HG002","8plex_B"
"HG003_NA24149_Father_SSXTHSV2751-SSXTHSV2551.summary.csv",0.949328,0.633692,0.168914,0.760043,18435,984,18436,10657,"HG003","4plex_A"
"HG003_NA24149_Father_SSXTHSV2755-SSXTHSV2555.summary.csv",0.950255,0.601938,0.165619,0.737014,18453,966,18453,12203,"HG003","4plex_B"
"HG003_NA24149_Father_SSXTHSV2759-SSXTHSV2559.summary.csv",0.968227,0.77927,0.190546,0.863532,18802,617,18803,5326,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2763-SSXTHSV2563.summary.csv",0.959267,0.667252,0.176674,0.787046,18628,791,18629,9290,"HG003","8plex_A"
"HG003_NA24149_Father_SSXTHSV2767-SSXTHSV2567.summary.csv",0.939595,0.471351,0.150836,0.627776,18246,1173,18246,20464,"HG003","8plex_B"
"HG003_NA24149_Father_SSXTHSV2771-SSXTHSV2571.summary.csv",0.945723,0.536973,0.15904,0.685006,18365,1054,18365,15836,"HG003","8plex_B"
"HG004_NA24143_Mother_SSXTHSV2750-SSXTHSV2550.summary.csv",0.96295,0.752914,0.192761,0.845076,18609,716,18606,6106,"HG004","4plex_A"
"HG004_NA24143_Mother_SSXTHSV2754-SSXTHSV2554.summary.csv",0.963777,0.765276,0.194978,0.853133,18625,700,18623,5712,"HG004","4plex_B"
"HG004_NA24143_Mother_SSXTHSV2758-SSXTHSV2558.summary.csv",0.934955,0.497631,0.157997,0.649543,18068,1257,18068,18240,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2762-SSXTHSV2562.summary.csv",0.960621,0.65425,0.179481,0.778373,18564,761,18565,9811,"HG004","8plex_A"
"HG004_NA24143_Mother_SSXTHSV2766-SSXTHSV2566.summary.csv",0.922794,0.381979,0.141064,0.540305,17833,1492,17830,28848,"HG004","8plex_B"
"HG004_NA24143_Mother_SSXTHSV2770-SSXTHSV2570.summary.csv",0.942872,0.469544,0.15149,0.626897,18221,1104,18223,20587,"HG004","8plex_B"
