"","METRIC.Recall","METRIC.Precision","METRIC.Frac_NA","METRIC.F1_Score","TRUTH.TP","TRUTH.FN","QUERY.TP","QUERY.FP","Sample","X_axis"
"HG002_NA24385_Son_NewIndex_SSXTHSV2752-SSXTHSV2552.summary.csv",0.445541,0.608209,0.138412,0.514319,1357937,1689900,1357977,874771,"HG002",4.3
"HG002_NA24385_Son_NewIndex_SSXTHSV2756-SSXTHSV2556.summary.csv",0.449715,0.606131,0.131362,0.516337,1370657,1677180,1370708,890698,"HG002",4.1
"HG002_NA24385_Son_NewIndex_SSXTHSV2760-SSXTHSV2560.summary.csv",0.503271,0.675078,0.144044,0.576649,1533888,1513949,1533995,738329,"HG002",5.8
"HG002_NA24385_Son_NewIndex_SSXTHSV2764-SSXTHSV2564.summary.csv",0.488152,0.644602,0.137441,0.555573,1487808,1560029,1487864,820325,"HG002",4.6
"HG002_NA24385_Son_NewIndex_SSXTHSV2768-SSXTHSV2568.summary.csv",0.366572,0.6392,0.148133,0.465936,1117251,1930586,1117300,630665,"HG002",4
"HG002_NA24385_Son_NewIndex_SSXTHSV2772-SSXTHSV2572.summary.csv",0.335099,0.623774,0.150364,0.435982,1021326,2026511,1021382,616042,"HG002",4
"HG002_NA24385_Son_SSXTHSV2749-SSXTHSV2549.summary.csv",0.506832,0.669842,0.138941,0.577046,1544741,1503096,1544799,761414,"HG002",5.1
"HG002_NA24385_Son_SSXTHSV2753-SSXTHSV2553.summary.csv",0.526097,0.607596,0.1353,0.563917,1603457,1444380,1603548,1035622,"HG002",5.4
"HG002_NA24385_Son_SSXTHSV2757-SSXTHSV2557.summary.csv",0.504156,0.663153,0.139889,0.572826,1536585,1511252,1536665,780545,"HG002",5.1
"HG002_NA24385_Son_SSXTHSV2761-SSXTHSV2561.summary.csv",0.374952,0.603563,0.143718,0.462552,1142792,1905045,1142847,750655,"HG002",3.9
"HG002_NA24385_Son_SSXTHSV2765-SSXTHSV2565.summary.csv",0.489429,0.648146,0.141231,0.557716,1491701,1556136,1491767,809823,"HG002",5.1
"HG002_NA24385_Son_SSXTHSV2769-SSXTHSV2569.summary.csv",0.549594,0.698118,0.145047,0.615016,1675074,1372763,1675140,724368,"HG002",7
"HG003_NA24149_Father_SSXTHSV2751-SSXTHSV2551.summary.csv",0.386716,0.598979,0.149778,0.469993,1164886,1847364,1164916,779920,"HG003",4
"HG003_NA24149_Father_SSXTHSV2755-SSXTHSV2555.summary.csv",0.380249,0.610414,0.151381,0.468594,1145404,1866846,1145446,731062,"HG003",4.3
"HG003_NA24149_Father_SSXTHSV2759-SSXTHSV2559.summary.csv",0.551402,0.670476,0.145223,0.605137,1660961,1351289,1661029,816360,"HG003",5.8
"HG003_NA24149_Father_SSXTHSV2763-SSXTHSV2563.summary.csv",0.431136,0.634739,0.15037,0.513492,1298690,1713560,1298741,747361,"HG003",4.6
"HG003_NA24149_Father_SSXTHSV2767-SSXTHSV2567.summary.csv",0.355253,0.57203,0.150256,0.438303,1070112,1942138,1070146,800639,"HG003",4.2
"HG003_NA24149_Father_SSXTHSV2771-SSXTHSV2571.summary.csv",0.426792,0.650558,0.154398,0.515437,1285605,1726645,1285643,690572,"HG003",5.5
"HG004_NA24143_Mother_SSXTHSV2750-SSXTHSV2550.summary.csv",0.505551,0.668017,0.146584,0.575539,1536698,1502949,1536736,763707,"HG004",5.4
"HG004_NA24143_Mother_SSXTHSV2754-SSXTHSV2554.summary.csv",0.447709,0.605733,0.139679,0.514868,1360877,1678770,1360947,885831,"HG004",4.2
"HG004_NA24143_Mother_SSXTHSV2758-SSXTHSV2558.summary.csv",0.373923,0.628907,0.153295,0.468998,1136594,1903053,1136667,670702,"HG004",4.4
"HG004_NA24143_Mother_SSXTHSV2762-SSXTHSV2562.summary.csv",0.458861,0.666209,0.150576,0.543428,1394775,1644872,1394824,698850,"HG004",5.1
"HG004_NA24143_Mother_SSXTHSV2766-SSXTHSV2566.summary.csv",0.345651,0.588336,0.152796,0.435464,1050658,1988989,1050695,735180,"HG004",4.9
"HG004_NA24143_Mother_SSXTHSV2770-SSXTHSV2570.summary.csv",0.366086,0.623225,0.154682,0.461238,1112771,1926876,1112820,672763,"HG004",4.8
